gene,base_mean,log2fc,pvalue,padj
ENSMUSG00000056749,1568.8932533925433,1.420805777013824,9.641805407981002e-54,1.5763387661508141e-49
ENSMUSG00000046598,1500.899327388136,1.4877021786017022,1.0503542430444558e-42,8.586120759766904e-39
ENSMUSG00000035105,3536.6829236226563,1.3302094489722802,4.938314530514259e-34,2.691216808645921e-30
ENSMUSG00000029673,2536.3357801849156,0.8690586119753932,2.904137705902521e-27,1.1869936838450079e-23
ENSMUSG00000030246,6660.596549154322,0.8365712580834921,5.3460349785445615e-25,1.748046517284501e-21
ENSMUSG00000017009,1476.9482244751964,0.4955861870944809,7.829612187123623e-25,2.1334388274547355e-21
ENSMUSG00000019997,873.4676669691947,0.9098775243857576,8.44111017854772e-22,1.9714815758439525e-18
ENSMUSG00000001334,4021.8276664750797,0.5329748006632085,2.509480322322913e-21,5.128436723707163e-18
ENSMUSG00000024486,592.7426272635339,0.9095393771719625,2.93594453112124e-21,5.33330634881124e-18
ENSMUSG00000059824,1894.9250253464588,-2.326319507437239,1.670611959972977e-20,2.7312834933598205e-17
ENSMUSG00000063142,3226.816878638166,0.628840457873433,3.669922655388662e-20,5.454505953904476e-17
ENSMUSG00000025900,57.43040609428448,1.6894308733085859,4.878956112353327e-20,6.647171123405379e-17
ENSMUSG00000040152,869.4594780222419,1.1497934924496427,2.495980678967963e-19,3.138983701572863e-16
ENSMUSG00000036918,560.9908690116505,0.6077944000609088,3.080095984672278e-19,3.596892089529076e-16
ENSMUSG00000001627,2684.4573230435876,0.7245133651264318,4.0590858612522206e-19,4.424132983040837e-16
ENSMUSG00000038393,34753.748672721056,-0.9700898773875838,4.472943248899747e-19,4.570509323516373e-16
ENSMUSG00000055116,1590.7148636717827,1.1129139686435305,7.759293911557493e-18,7.462158597650203e-15
ENSMUSG00000029765,747.6543927203429,0.5462407899645103,9.422788513911937e-18,8.558509411885903e-15
ENSMUSG00000025735,562.6763608397999,-0.7224910370278265,2.1500183528432362e-17,1.850034213191267e-14
ENSMUSG00000055866,400.99865592940927,-1.6075563790397025,9.971218343867437e-17,8.150972435194437e-14
ENSMUSG00000024642,1128.354331638269,0.5261947541219822,1.2930108412005702e-16,1.0066397258470535e-13
ENSMUSG00000015568,27877.468353749955,0.6247617364312984,1.9671496941118938e-16,1.4618604704106978e-13
ENSMUSG00000019947,2446.209882450485,0.9130829239034617,2.2486996273935973e-16,1.5984343568807793e-13
ENSMUSG00000004035,109.98911761577979,0.9651693121701395,6.305603474910708e-16,4.2954296338047984e-13
ENSMUSG00000049303,100.8000265755184,1.755858630535245,1.4857562382600247e-15,9.716251495725257e-13
ENSMUSG00000048148,226.82020735998606,-1.1361840905849592,2.497876866714331e-15,1.5706841882274073e-12
ENSMUSG00000097960,177.3547244070038,-1.3447563354448078,7.585922631768179e-15,4.593416633584369e-12
ENSMUSG00000031286,705.4345182391189,0.6829024171460775,1.0284064246793972e-14,6.004791656101237e-12
ENSMUSG00000035923,2138.3943037141203,0.5056030535295355,1.3836783369722079e-14,7.800605907296078e-12
ENSMUSG00000099906,86.64435675311734,2.459842412915085,1.5338568236383552e-14,8.359008403221156e-12
ENSMUSG00000105096,366.4482953486081,2.205655846572897,1.6058024806795414e-14,8.468795082783814e-12
ENSMUSG00000049551,755.9796742183595,0.5801560664854004,1.7982123945176678e-14,9.187179511865423e-12
ENSMUSG00000027333,2607.644123776256,0.6037547075546178,2.682223013249353e-14,1.3288383043519294e-11
ENSMUSG00000053963,84.9232580885337,-1.3376442371531396,2.937509542076971e-14,1.4125101030416588e-11
ENSMUSG00000032425,579.2438020942792,-0.4658291030811596,6.449632183689498e-14,3.0127153306039884e-11
ENSMUSG00000085272,51.62509729431372,1.7109249522384058,1.2488603851231172e-13,5.6715606767716236e-11
ENSMUSG00000008318,896.5661517000916,0.6183255926725514,1.7196213119312626e-13,7.598402386152489e-11
ENSMUSG00000106951,585.6454009521715,-0.7491074673485225,2.6100036605166546e-13,1.1229197327838628e-10
ENSMUSG00000117713,23.728577832041925,2.5585218667410246,3.0268517586128044e-13,1.2688717795271986e-10
ENSMUSG00000047205,1149.5730160406963,1.140226665000038,4.303789153797925e-13,1.759066221886057e-10
ENSMUSG00000027805,5645.820335904263,-0.2725848988074441,5.517222041887159e-13,2.2000259308003208e-10
ENSMUSG00000027077,2631.6484077205073,0.699147760088364,6.975043002040767e-13,2.715118524770583e-10
ENSMUSG00000040441,329.11579342287314,0.8317727131349129,7.467508365593873e-13,2.839216145792889e-10
ENSMUSG00000028957,1551.0698873683505,-1.548587174969123,8.149308765924905e-13,3.0280238412296883e-10
ENSMUSG00000074170,631.2818997737957,0.4227927077473653,9.936453627150008e-13,3.6100240077838997e-10
ENSMUSG00000020547,3072.6741080950214,0.3011702263393503,1.4100221728121579e-12,5.011402718109993e-10
ENSMUSG00000022332,409.299730502896,0.6829888078994206,2.2324579592219483e-12,7.765628760706305e-10
ENSMUSG00000023079,814.698778692698,0.3890492100983595,2.588740272472481e-12,8.81735723221929e-10
ENSMUSG00000108322,668.4686242050112,-0.7276447452344729,2.76671794384907e-12,9.231239115099684e-10
ENSMUSG00000102676,84.96846952460388,1.018962660909607,3.61809537448891e-12,1.1830448255503838e-09
ENSMUSG00000036390,554.6571724296708,-0.7285141079670745,4.004416646688276e-12,1.283690348170718e-09
ENSMUSG00000024190,4003.27503528459,0.9141621184283912,4.332076103724493e-12,1.3620213888421488e-09
ENSMUSG00000028445,315.87388971487854,0.8942203686752674,6.624177722503278e-12,2.043371350664266e-09
ENSMUSG00000020038,652.5113462334285,0.6702028718505505,9.5457686601694e-12,2.8900698486131387e-09
ENSMUSG00000026360,297.70886213044133,1.1712089312844534,1.0349067849558292e-11,3.0763074594987004e-09
ENSMUSG00000026639,104.32045103272202,0.9244690456786601,1.1213163960607598e-11,3.2235802209991964e-09
ENSMUSG00000071076,1388.1744772970803,0.5579341955692653,1.1238856969658951e-11,3.2235802209991964e-09
ENSMUSG00000027022,275540.52874950453,-0.35659197306303014,1.4348121976452881e-11,4.0444387274660026e-09
ENSMUSG00000031765,700.0964867730181,1.4370588036429714,1.7063334874400663e-11,4.728279014602991e-09
ENSMUSG00000029009,527.8576973263354,0.5315285873553387,1.9542028876923958e-11,5.3248771684804964e-09
ENSMUSG00000034647,1630.7911306745618,-0.3544404016387021,1.9872216609225702e-11,5.326079825315262e-09
ENSMUSG00000025938,4246.765523273915,0.32548009904764813,2.390675599820621e-11,6.3040573195915054e-09
ENSMUSG00000106874,872.9080138854397,0.3291271611861106,6.132211630292478e-11,1.5913575864071703e-08
ENSMUSG00000027630,3670.201345788749,0.2617458176163466,9.438021830895909e-11,2.4109721705205816e-08
